,attrition,business_travel,daily_rate,department,distance_from_home,education,education_field,employee_number,environment_satisfaction,gender,hourly_rate,job_involvement,job_level,job_role,job_satisfaction,marital_status,monthly_income,monthly_rate,num_companies_worked,over_time,percent_salary_hike,performance_rating,relationship_satisfaction,stock_option_level,total_working_years,training_times_last_year,work_life_balance,years_at_company,years_in_current_role,years_since_last_promotion,years_with_current_manager,date_birth,role_departament,remote_work
402,,rarely,1103.0,,14,3,,,1,m,42,3,1,research scientist,1,,,14377,1,,0.14,,4,2,,3,2.0,9,,6,8,1996,,
403,,,920.0,research & development,3,3,life sciences,,3,m,96,1,5,research director,4,,19740.0,18625,3,False,0.14,,2,1,,2,3.0,8,,0,7,1980,research & development,
404,,rarely,694.0,,1,3,,,4,f,,2,4,research director,4,divorced,,3423,3,False,0.14,,2,2,9.0,2,2.0,7,,1,7,1994,,
405,,,1429.0,,24,4,,,24,m,67,3,3,manufacturing director,4,single,,20002,6,False,0.12,,4,0,,6,2.0,9,,5,4,1964,,
406,,rarely,531.0,,4,4,marketing,,4,f,56,2,3,sales executive,4,single,,20364,3,False,0.14,,4,0,23.0,3,4.0,21,,15,17,1980,,
407,,rarely,621.0,,15,3,medical,,1,f,73,3,3,healthcare representative,4,married,,14075,1,,0.11,,4,1,,2,3.0,10,,0,5,1979,,
408,,,806.0,research & development,7,3,technical degree,,2,f,39,3,1,laboratory technician,3,divorced,,17285,3,True,0.13,,1,2,10.0,2,3.0,7,,7,7,1994,research & development,
409,,rarely,604.0,,8,3,,,3,m,56,4,2,sales executive,4,married,6209.0,11693,1,,0.15,,3,2,,4,4.0,10,,0,8,1991,,
410,,rarely,325.0,,10,4,technical degree,,4,f,63,3,3,healthcare representative,3,married,7094.0,5747,3,False,0.12,,1,0,,0,3.0,7,,1,7,1987,,
411,,,1030.0,sales,5,3,,,2,m,64,3,3,sales executive,2,single,,21534,9,True,0.19,,3,0,,2,2.0,8,,7,7,1971,sales,
412,,rarely,524.0,,33,2,,,1,m,32,3,2,manufacturing director,3,single,4534.0,13352,0,,0.11,,1,0,,6,,8,,1,7,1984,,
413,,,943.0,,9,3,,,4,m,86,3,3,healthcare representative,4,,8500.0,5494,0,,0.11,,4,1,10.0,0,2.0,9,,1,6,1989,,
414,,,1009.0,,2,2,life sciences,,2,f,31,3,2,sales executive,1,,,19461,3,,0.15,,4,1,11.0,3,3.0,7,,1,7,1985,,
415,,frequently,607.0,sales,12,3,marketing,,12,f,83,4,2,sales executive,1,marreid,4639.0,2261,2,False,0.16,,4,1,,2,2.0,15,,6,13,1987,sales,
416,,,817.0,,1,3,,,4,f,60,2,2,laboratory technician,4,,5363.0,10846,0,False,0.12,,2,1,10.0,0,3.0,9,,0,0,1988,,
417,,,,,13,4,,,1,m,85,4,4,sales executive,3,,,9277,6,,0.17,,3,0,,2,2.0,19,,3,8,1968,,
418,,,,,29,3,,,2,m,86,3,2,laboratory technician,3,,,17491,4,,0.13,,1,2,10.0,1,3.0,8,,7,7,1989,,
419,,,930.0,,6,3,medical,,1,f,73,2,2,research scientist,3,single,4081.0,20003,1,True,0.14,,1,0,20.0,3,1.0,20,,1,8,1980,,
420,,rarely,1147.0,,10,3,human resources,,3,f,31,3,4,manager,1,married,,16616,0,,0.14,,3,1,21.0,5,3.0,20,,0,9,1981,,
421,,rarely,652.0,,7,3,,,3,m,100,4,1,laboratory technician,1,single,3578.0,23577,0,False,0.12,,4,0,8.0,2,3.0,7,,0,7,1997,,
422,,,337.0,,14,1,other,,3,f,84,3,3,healthcare representative,4,single,,22930,0,True,0.12,,1,0,,1,3.0,8,,7,7,1994,,
423,,,971.0,research & development,1,3,,,4,f,54,3,4,research director,4,,17328.0,5652,6,,0.19,,4,0,29.0,3,2.0,20,,12,7,1969,research & development,
424,,,1136.0,,1,4,,,2,m,81,4,4,research director,4,divorced,,12414,2,False,0.13,,4,2,31.0,4,4.0,7,,0,0,1968,,
425,,no,663.0,,9,4,other,,3,m,81,3,2,laboratory technician,3,,,23099,3,False,0.11,,3,2,11.0,2,,8,,0,7,1983,,
426,,,326.0,,8,2,,,1,m,31,3,3,sales executive,4,divorced,10793.0,8386,1,,0.18,,1,1,13.0,5,3.0,13,,9,9,1992,,
427,,,377.0,,9,3,marketing,,1,m,52,3,3,sales executive,4,divorced,,15986,4,False,0.11,,1,1,28.0,1,4.0,7,,4,3,1977,,
428,,rarely,1038.0,,20,3,medical,,2,m,95,1,3,healthcare representative,1,,10851.0,19863,2,True,0.18,,2,1,,2,3.0,7,,0,7,1978,,
429,,rarely,1490.0,,7,4,life sciences,,3,m,35,3,3,healthcare representative,2,divorced,10466.0,20948,3,,0.14,,2,2,29.0,3,3.0,8,,0,7,1974,,
430,,rarely,1246.0,,19,3,,,3,m,77,2,2,sales executive,3,,,23757,1,,0.14,,3,2,10.0,3,3.0,10,,0,4,1994,,
431,,,224.0,,1,4,technical degree,,1,m,100,2,1,research scientist,1,single,2362.0,7568,6,False,0.13,,3,0,,2,1.0,9,,0,7,1994,,
432,,,441.0,,8,1,other,,3,f,39,1,2,healthcare representative,1,,,7288,3,False,0.13,,3,1,9.0,3,3.0,7,,0,7,1994,,
433,,rarely,898.0,human resources,6,2,,,3,m,38,3,4,manager,4,single,,17381,1,True,0.21,,4,0,21.0,2,3.0,21,,7,7,1983,human resources,
434,,,,sales,16,4,life sciences,,3,f,96,3,2,sales executive,3,divorced,6439.0,13693,8,False,0.14,,3,1,18.0,2,,8,,7,7,1975,sales,
435,,,607.0,,2,5,,,3,f,78,2,3,manufacturing director,4,married,,14618,0,,0.16,,2,1,,4,3.0,33,,1,9,1970,,
436,,,1313.0,,7,3,medical,,2,f,31,3,5,research director,4,,,3549,0,True,0.14,,4,1,,4,2.0,22,,1,10,1979,,
437,,,1015.0,,5,5,,,3,f,50,1,2,laboratory technician,1,,5769.0,23447,1,,0.14,,1,0,10.0,3,3.0,10,,1,4,1978,,
438,,no,,,26,3,marketing,,1,m,52,2,2,sales executive,1,,4385.0,24162,1,,0.15,,1,1,10.0,2,,10,,4,5,1978,,
439,,frequently,426.0,,10,4,,,3,m,42,4,2,manufacturing director,4,,,17000,1,,0.13,,1,1,9.0,3,,9,,7,2,1989,,
440,,,1387.0,research & development,10,5,medical,,2,m,76,3,2,manufacturing director,1,,,3835,2,,0.13,,4,3,,3,3.0,7,,7,7,1984,research & development,
441,,,1302.0,research & development,36,3,,,36,m,,2,1,laboratory technician,1,divorced,4066.0,16290,1,False,0.11,,1,2,7.0,3,3.0,7,,0,7,1996,research & development,
442,,rarely,1329.0,,2,2,,,4,f,59,2,2,manufacturing director,4,divorced,,5388,1,,0.19,,1,2,10.0,3,3.0,10,,3,9,1978,,
443,,,602.0,,1,5,,,1,m,37,3,2,human resources,4,married,,10503,4,True,0.11,,3,0,14.0,3,3.0,10,,0,2,1979,,
444,,,772.0,,2,1,life sciences,,4,m,77,4,2,manufacturing director,3,divorced,5206.0,4973,1,,0.17,,3,2,7.0,6,3.0,7,,0,7,1998,,
445,,,809.0,,1,3,,,3,m,36,3,4,manager,3,single,,22384,4,,0.14,,1,0,23.0,2,3.0,8,,0,0,1974,,
446,,frequently,,,7,2,,,4,f,95,3,1,sales representative,3,,2655.0,11740,2,,0.11,,3,2,19.0,3,3.0,9,,7,7,1975,,
447,,,786.0,,7,3,medical,,4,m,76,3,1,laboratory technician,4,,2570.0,11925,1,False,0.2,,3,0,7.0,5,3.0,7,,5,7,1997,,
448,,rarely,921.0,,2,3,life sciences,,3,f,96,4,3,healthcare representative,4,,,14810,1,,0.19,,2,1,,2,3.0,8,,6,7,1979,,
449,,,530.0,,2,4,,,3,f,51,3,2,sales representative,4,single,4502.0,7439,3,,0.15,,3,0,17.0,2,2.0,13,,6,7,1987,,
450,,,717.0,research & development,13,4,,,3,m,34,3,2,healthcare representative,2,single,,9697,6,False,0.14,,4,0,19.0,3,3.0,10,,0,9,1977,research & development,
451,,,1370.0,,27,4,life sciences,,4,m,49,3,2,manufacturing director,3,married,,5151,2,,0.16,,2,1,17.0,3,3.0,7,,0,7,1988,,
452,,frequently,1312.0,,2,4,,,4,f,78,2,1,research scientist,1,,4968.0,26427,0,,0.16,,4,0,10.0,2,,9,,0,7,1993,,
453,,,979.0,,15,2,marketing,,3,m,94,2,3,sales executive,1,,,3088,2,False,0.11,,1,1,,2,3.0,7,,1,7,1993,,
454,,no,1283.0,,2,3,marketing,,4,f,62,3,2,sales executive,2,,5147.0,10697,8,False,0.15,,4,0,13.0,2,2.0,11,,1,7,1990,,
455,,,953.0,,5,4,,,2,m,65,3,1,research scientist,2,single,2718.0,17674,2,False,0.14,,2,0,12.0,3,3.0,7,,0,7,1991,,
456,,rarely,244.0,,2,3,life sciences,,2,m,97,3,1,human resources,4,,3539.0,5033,0,False,0.13,,2,0,,5,3.0,9,,1,8,1980,,
457,,rarely,196.0,,29,4,marketing,,1,f,91,2,2,sales executive,4,,5468.0,13402,1,,0.14,,1,2,,3,3.0,12,,5,7,1992,,
458,,,303.0,,27,3,,,3,m,84,3,2,sales executive,4,,5813.0,13492,1,,0.18,,4,0,,2,3.0,10,,7,7,1988,,
459,,no,1180.0,research & development,2,2,medical,,2,m,90,3,2,manufacturing director,4,divorced,,24442,2,False,0.14,,3,1,15.0,6,3.0,7,,1,7,1988,research & development,
460,,,1092.0,,10,3,medical,,1,f,64,3,3,manufacturing director,3,single,9667.0,2739,9,False,0.14,,2,0,9.0,3,3.0,7,,0,2,1993,,
461,,rarely,261.0,,19,2,medical,,4,f,66,3,2,healthcare representative,2,married,,10842,4,False,0.22,,4,1,13.0,2,4.0,9,7.0,3,7,1977,,
462,,no,589.0,,2,4,,,3,f,67,3,2,sales executive,3,married,5154.0,19665,4,,0.22,,2,2,10.0,3,4.0,8,,5,7,1978,,
463,,frequently,1422.0,,2,4,life sciences,,1,m,92,3,2,sales executive,4,married,5675.0,19246,1,,0.2,,3,1,7.0,5,3.0,7,,7,7,1980,,
464,,,,,10,3,life sciences,,3,f,64,3,3,sales executive,2,,7314.0,14011,5,,0.21,,3,3,14.0,2,3.0,8,,0,7,1977,,
465,,rarely,1137.0,research & development,1,4,,,1,m,98,3,4,manager,1,,,18991,2,,0.11,,1,1,22.0,3,,19,,11,16,1983,research & development,
466,,rarely,511.0,sales,2,2,,,1,f,89,4,2,sales executive,3,single,,26997,0,False,0.14,,2,0,9.0,5,2.0,8,,0,7,1996,sales,
467,,,1396.0,,6,3,medical,,3,m,83,3,3,research director,1,married,,14842,9,False,0.13,,2,1,18.0,3,4.0,13,,5,7,1981,,
468,,frequently,1096.0,,6,3,other,,3,m,61,4,1,laboratory technician,4,married,,7102,0,False,0.18,,1,1,8.0,3,3.0,7,,7,7,1997,,
469,,frequently,,,1,2,life sciences,,3,m,42,2,2,sales executive,4,married,,19255,1,,0.12,,3,1,7.0,2,3.0,7,,0,7,1995,,
470,,,1169.0,,14,4,,,3,m,64,3,2,research scientist,2,married,,2125,8,,0.18,,3,1,,4,4.0,8,,1,7,1976,,
471,,rarely,1239.0,,13,4,medical,,4,m,39,3,3,sales executive,3,divorced,,22914,1,False,0.18,,3,1,9.0,2,2.0,8,,1,1,1989,,
472,,,157.0,research & development,1,3,medical,,3,m,95,3,1,laboratory technician,1,single,,20006,0,False,0.13,,4,0,8.0,6,,7,,7,6,1997,research & development,
473,,rarely,954.0,,9,3,,,4,m,44,3,2,sales executive,4,,,5099,1,,0.14,,1,0,,5,,7,,0,7,1996,,
474,,frequently,754.0,sales,26,4,marketing,,1,m,63,3,2,sales executive,4,,,21075,1,True,0.11,,3,0,10.0,4,3.0,10,,0,8,1992,sales,
475,,frequently,1303.0,,7,2,life sciences,,4,m,,3,2,healthcare representative,3,divorced,,18079,1,,0.2,,3,3,9.0,2,3.0,9,,2,8,1990,,
476,,,697.0,,10,3,,,3,f,40,3,3,research director,3,married,,26862,4,False,0.2,,3,1,13.0,2,4.0,11,,4,8,1992,,
477,,,1395.0,,9,4,medical,,2,m,48,3,2,research scientist,3,,5098.0,18698,1,False,0.19,,2,0,10.0,5,3.0,10,,0,8,1988,,
478,,rarely,501.0,,15,2,,,2,f,95,3,2,healthcare representative,4,married,,21653,0,True,0.13,,1,1,,6,3.0,9,,8,1,1990,,
479,,rarely,116.0,,24,1,life sciences,,1,m,52,3,2,research scientist,4,single,,5340,7,False,0.13,,1,0,,2,3.0,7,,1,7,1984,,
480,,rarely,557.0,,46,3,,,46,f,94,2,3,sales executive,4,marreid,,12695,0,False,0.19,,3,2,10.0,2,3.0,9,,3,4,1987,,
481,,rarely,582.0,,28,4,life sciences,,1,f,60,2,4,manufacturing director,2,married,13570.0,5640,0,False,0.23,,3,1,21.0,3,3.0,20,,0,10,1982,,
482,,,704.0,sales,28,3,marketing,,4,f,95,2,2,sales executive,3,married,6712.0,8978,1,False,0.21,,4,2,8.0,2,3.0,8,,1,7,1989,sales,
483,,rarely,,,10,2,,,1,f,100,3,2,sales executive,4,married,,5982,1,False,0.11,,3,1,10.0,1,3.0,10,,1,9,1985,,
484,,rarely,613.0,,6,1,,,4,m,42,2,3,healthcare representative,1,,9991.0,21457,4,,0.15,,1,1,,5,3.0,7,,1,7,1984,,
485,,rarely,419.0,,7,4,,,1,f,53,3,3,research director,2,single,,21293,0,False,0.11,,3,0,,4,3.0,12,6.0,2,11,1989,,
486,,rarely,477.0,,7,4,medical,,1,f,42,2,3,healthcare representative,4,married,10248.0,2094,3,,0.14,,4,1,24.0,4,3.0,22,,5,17,1979,,
487,,,1211.0,,5,4,,,1,m,98,3,2,sales executive,4,single,,20445,4,,0.21,,3,0,14.0,4,3.0,9,,0,8,1977,,
488,,frequently,857.0,research & development,10,3,life sciences,,4,m,91,2,4,manager,1,divorced,,12888,4,,0.13,,2,1,,2,2.0,7,,7,7,1982,research & development,
489,,,505.0,research & development,2,4,,,3,f,64,3,3,healthcare representative,3,single,10938.0,6420,0,False,0.25,,4,0,20.0,1,3.0,19,,11,8,1984,research & development,
490,,rarely,269.0,,2,3,medical,,4,f,56,2,1,laboratory technician,1,divorced,2593.0,8007,0,True,0.11,,3,1,10.0,4,3.0,9,,7,8,1981,,
491,,frequently,553.0,research & development,5,4,,,4,f,74,3,3,manager,2,married,11878.0,23364,6,,0.11,,2,2,12.0,2,3.0,10,,8,8,1990,research & development,
492,,rarely,1296.0,,5,4,technical degree,,3,m,62,3,3,manufacturing director,2,single,8095.0,18264,0,False,0.13,,4,0,17.0,5,3.0,16,,0,13,1988,,
493,,rarely,1277.0,,15,1,medical,,2,m,56,3,3,manager,3,married,,24619,7,,0.12,,4,0,15.0,2,4.0,7,,7,7,1990,,
494,,rarely,302.0,,6,3,life sciences,,2,f,75,3,4,manufacturing director,3,single,,20364,7,False,0.15,,3,0,22.0,3,3.0,20,,5,13,1983,,
495,,rarely,427.0,,10,4,human resources,,2,m,73,2,5,manager,4,divorced,,8861,3,False,0.15,,2,3,23.0,2,2.0,21,,12,6,1982,,
496,,,975.0,,7,3,,,4,f,55,2,2,healthcare representative,1,,,23398,8,False,0.19,,1,0,,2,1.0,7,,0,7,1996,,
497,,rarely,621.0,,3,4,marketing,,3,m,31,2,4,manager,1,,16856.0,10084,1,,0.11,,1,0,,3,4.0,34,,1,16,1971,,
498,,rarely,1318.0,,26,4,marketing,,1,f,66,3,4,manager,3,married,,5594,2,False,0.14,,3,1,,2,2.0,20,,4,17,1972,,
499,,rarely,249.0,,2,2,marketing,,3,f,35,3,2,sales executive,4,,4537.0,17783,0,,0.22,,1,1,8.0,2,3.0,7,,7,7,1976,,
500,,no,881.0,research & development,2,4,,,1,m,98,3,4,manager,1,divorced,17924.0,4544,1,,0.11,,4,1,31.0,3,3.0,31,,14,7,1973,research & development,
501,,rarely,1137.0,research & development,21,1,life sciences,,4,f,51,3,2,healthcare representative,4,married,4014.0,19170,1,,0.25,,4,1,10.0,2,1.0,10,,0,7,1988,research & development,
502,,rarely,466.0,,1,1,,,4,f,65,2,4,manufacturing director,4,married,12742.0,7060,1,False,0.16,,3,1,,3,3.0,21,,11,8,1984,,
503,,frequently,945.0,,22,3,medical,,4,f,82,3,3,manufacturing director,1,single,,5083,1,,0.13,,3,0,,2,3.0,21,,2,8,1984,,
504,,,509.0,,7,2,,,2,f,43,4,1,research scientist,3,,3376.0,18863,1,False,0.13,,3,0,,3,3.0,10,,0,8,1982,,
505,,,1376.0,human resources,1,2,medical,,2,m,91,2,3,human resources,1,married,10482.0,2326,9,False,0.14,,4,1,24.0,1,3.0,20,,3,6,1979,human resources,
506,,,469.0,,2,2,medical,,4,m,35,3,4,manager,1,,,14399,0,False,0.17,,4,1,23.0,3,3.0,22,,13,7,1981,,
507,,rarely,994.0,,7,4,life sciences,,2,m,87,3,3,healthcare representative,2,single,,15322,7,,0.19,,4,0,18.0,4,,8,,4,0,1971,,
508,,,433.0,,1,3,,,3,m,37,4,1,human resources,3,,,6004,1,False,0.13,,4,1,7.0,2,4.0,7,,5,0,1985,,
509,,,991.0,human resources,1,2,life sciences,,4,f,44,3,1,human resources,1,,,22957,6,,0.12,,3,0,10.0,3,4.0,7,,5,7,1977,human resources,
510,,,482.0,,4,4,life sciences,,3,m,87,3,2,research scientist,3,single,4249.0,2690,1,,0.11,,2,0,,3,3.0,9,,1,1,1988,,
511,,rarely,1083.0,research & development,29,1,life sciences,,3,m,96,1,2,manufacturing director,2,married,6549.0,3173,1,,0.14,,2,2,8.0,2,2.0,8,,1,7,1995,research & development,
512,,,136.0,,28,3,life sciences,,4,m,32,3,4,research director,1,married,,22074,3,False,0.13,,3,1,,1,4.0,20,,14,17,1979,,
513,,,333.0,,22,5,,,3,m,88,1,4,research director,4,,14411.0,24450,1,,0.13,,4,0,,2,3.0,32,,13,9,1973,,
514,,rarely,685.0,,23,5,marketing,,3,m,60,2,5,manager,4,,19586.0,23037,1,False,0.21,,3,1,36.0,3,3.0,36,,2,13,1968,,
515,,,1462.0,sales,6,3,,,4,m,38,4,3,sales executive,3,married,8237.0,4658,2,False,0.11,,1,1,11.0,3,3.0,7,,7,6,1984,sales,
516,,,722.0,research & development,13,4,,,13,f,84,3,1,laboratory technician,1,,3211.0,22102,1,,0.14,,4,1,10.0,3,2.0,9,,1,4,1974,research & development,
517,,,,,28,2,technical degree,,4,f,48,2,4,research director,2,single,16704.0,17119,1,,0.11,,3,0,21.0,2,3.0,21,6.0,8,6,1978,,
518,,,1277.0,,2,3,,,3,m,74,3,3,sales executive,4,,,5596,4,,0.12,,2,1,,5,2.0,10,,0,3,1977,,
519,,,1131.0,,15,3,,,4,f,77,2,1,research scientist,1,married,4774.0,23844,0,False,0.19,,4,1,,2,,7,,7,3,1996,,
520,,rarely,300.0,,2,3,,,1,m,56,3,5,manager,3,married,,17312,5,,0.11,,1,0,24.0,2,2.0,22,,4,14,1981,,
521,,,1023.0,sales,2,3,,,4,m,63,2,2,sales executive,2,married,,13243,2,,0.14,,4,0,17.0,3,2.0,9,,0,8,1974,sales,
522,,rarely,153.0,,15,2,life sciences,,4,f,49,2,2,laboratory technician,3,single,,12682,0,True,0.12,,4,0,10.0,3,3.0,9,,0,8,1994,,
523,,no,1065.0,,12,4,marketing,,12,m,72,3,2,sales executive,3,,4568.0,10034,0,False,0.2,,3,0,,2,3.0,9,,8,7,1989,,
524,,,1115.0,,1,4,,,1,m,51,2,2,manufacturing director,3,divorced,5993.0,2689,1,False,0.18,,3,1,,2,,7,,0,7,1986,,
525,,,1195.0,,11,3,,,2,m,95,2,2,manufacturing director,2,single,6499.0,22656,1,False,0.13,,3,0,6.0,3,3.0,6,,0,3,1987,,
526,,,1316.0,,29,3,,,3,m,83,3,1,research scientist,4,single,3452.0,9752,5,,0.13,,2,0,9.0,2,2.0,6,,0,3,1978,,
527,,rarely,665.0,,15,3,,,3,m,60,3,1,research scientist,4,,,22673,1,False,0.19,,1,0,6.0,1,3.0,6,,1,5,1994,,
528,,,1479.0,,1,3,,,3,f,84,3,2,manufacturing director,2,,6397.0,26767,1,False,0.2,,1,1,6.0,6,1.0,6,,1,4,1997,,
529,,,304.0,,9,4,life sciences,,2,m,92,3,2,sales executive,4,single,,20750,1,False,0.16,,4,0,,1,3.0,7,,0,7,1995,,
530,,frequently,1368.0,,30,4,technical degree,,4,f,,2,2,healthcare representative,4,married,,4386,0,False,0.11,,4,3,7.0,4,4.0,6,,0,4,1981,,
531,,rarely,828.0,sales,2,1,life sciences,,2,m,77,3,2,sales executive,4,,,8346,4,True,0.13,,3,0,10.0,2,4.0,6,,0,5,1992,sales,
532,,rarely,799.0,,47,3,,,47,f,59,3,3,manufacturing director,4,single,,23848,4,,0.17,,4,0,,3,4.0,6,,1,2,1986,,
533,,no,142.0,,9,4,,,1,m,69,3,3,sales executive,2,divorced,,24666,1,False,0.13,,4,1,9.0,6,3.0,9,,7,7,1986,,
534,,rarely,446.0,,1,4,life sciences,,2,f,65,3,2,manufacturing director,2,married,,15701,6,,0.12,,2,1,8.0,2,2.0,6,,4,3,1986,,
535,,rarely,691.0,,23,3,medical,,2,m,89,4,1,research scientist,4,,2725.0,21630,1,,0.11,,2,2,,3,3.0,6,,1,4,1999,,
536,,,1246.0,,3,3,,,1,m,99,3,5,manager,2,married,,7999,1,False,0.11,,3,1,,2,3.0,32,,10,7,1973,,
537,,,254.0,,1,2,life sciences,,2,m,83,2,1,research scientist,4,,3622.0,22794,1,True,0.13,,4,1,6.0,3,3.0,6,,1,3,1989,,
538,,frequently,1410.0,,3,1,medical,,4,f,71,4,2,sales executive,4,,,16673,1,,0.2,,2,2,,3,3.0,6,,0,4,1996,,
539,,,883.0,sales,42,1,,,42,f,32,3,2,sales executive,4,single,6180.0,22807,1,False,0.23,,2,0,6.0,5,2.0,6,,1,4,1998,sales,
540,,,304.0,sales,25,3,other,,4,m,60,3,2,sales executive,4,single,6274.0,18686,1,False,0.22,,3,0,6.0,5,3.0,6,,1,4,1989,sales,
541,,,121.0,research & development,2,4,,,3,f,86,2,1,research scientist,1,,4381.0,7530,1,,0.11,,3,0,6.0,3,3.0,6,,1,3,1989,research & development,
542,,,950.0,,7,3,other,,3,m,59,3,3,manufacturing director,3,single,,18869,3,False,0.21,,2,0,17.0,3,4.0,8,,1,6,1988,,
543,,,1343.0,,16,1,medical,,16,f,53,2,1,research scientist,1,,2559.0,17852,1,,0.11,,4,0,6.0,3,2.0,6,,1,1,1988,,
544,,,827.0,research & development,1,4,,,3,f,84,4,2,healthcare representative,2,married,5488.0,20161,1,True,0.13,,1,1,,2,3.0,6,,1,2,1990,research & development,
545,,,1107.0,,28,4,life sciences,,3,f,93,3,1,research scientist,4,divorced,2514.0,26968,4,False,0.22,,1,1,11.0,1,3.0,7,,1,7,1994,,
546,,frequently,490.0,research & development,10,3,,,4,f,61,3,1,research scientist,2,divorced,,17940,0,False,0.14,,4,2,8.0,2,2.0,7,,1,1,1994,research & development,
547,,,1400.0,,9,1,life sciences,,2,f,70,3,2,sales executive,3,married,,5829,1,,0.2,,1,0,,3,2.0,6,,1,3,1989,,
548,,rarely,1179.0,,19,4,medical,,4,m,78,2,1,laboratory technician,1,married,3196.0,12449,1,,0.12,,3,3,6.0,2,3.0,6,,3,3,1995,,
549,,,1117.0,,2,1,life sciences,,1,f,72,4,1,research scientist,4,married,,19982,1,,0.13,,4,1,10.0,5,3.0,10,,7,7,1979,,
550,,rarely,1332.0,research & development,11,2,,,3,m,80,3,2,healthcare representative,1,married,,17089,1,True,0.12,,4,0,6.0,2,2.0,6,,0,1,1992,research & development,
551,,,583.0,research & development,4,2,life sciences,,3,m,53,3,1,research scientist,4,,,9973,1,True,0.2,,2,0,,2,2.0,8,,2,2,1997,research & development,
552,,rarely,465.0,,1,3,,,1,m,74,3,1,research scientist,4,,3420.0,10205,7,False,0.12,,3,1,17.0,2,2.0,6,,1,2,1976,,
553,,,1413.0,research & development,5,2,,,3,m,84,4,1,laboratory technician,3,single,,25470,0,False,0.14,,1,0,7.0,2,1.0,6,,1,3,1986,research & development,
554,,,1200.0,,1,4,,,4,m,,3,2,research scientist,1,married,4087.0,25174,4,,0.14,,2,1,9.0,3,2.0,6,,1,2,1991,,
555,,,977.0,,2,3,medical,,4,m,45,3,2,research scientist,2,divorced,,25518,0,False,0.13,,3,2,10.0,4,2.0,9,,1,6,1991,,
556,,no,530.0,,16,3,life sciences,,3,f,36,3,2,sales executive,4,,5368.0,16130,1,True,0.25,,3,1,7.0,2,3.0,6,,1,2,1990,,
557,,,1093.0,sales,9,3,,,3,m,82,1,4,sales executive,3,married,12936.0,24164,7,False,0.11,,3,0,25.0,3,1.0,23,,14,10,1976,sales,
558,,,1102.0,,1,2,,,2,f,94,3,2,sales executive,4,,,19479,8,True,0.11,,1,0,8.0,0,1.0,6,,0,5,1982,,
559,,rarely,809.0,research & development,16,3,medical,,1,m,84,4,1,laboratory technician,2,married,,16479,0,,0.13,,3,1,6.0,5,3.0,5,,0,3,1988,research & development,
560,,rarely,1328.0,,2,3,life sciences,,3,m,76,3,1,research scientist,2,married,,4956,0,False,0.23,,4,1,,3,3.0,5,,0,4,1994,,
561,,rarely,548.0,,1,3,life sciences,,2,m,66,3,2,research scientist,2,,,7346,1,False,0.17,,2,2,10.0,3,3.0,10,,0,9,1991,,
562,,rarely,1214.0,,1,3,medical,,2,m,30,2,1,research scientist,3,single,,26278,1,False,0.18,,1,0,6.0,3,3.0,6,,0,4,1988,,
563,,,,,13,3,,,4,m,,1,3,manufacturing director,4,,,21698,4,False,0.11,,1,0,37.0,3,2.0,6,,0,2,1967,,
564,,,120.0,,4,3,medical,,2,m,43,3,2,sales executive,3,,4221.0,8863,1,,0.15,,2,0,5.0,3,4.0,5,,0,4,1995,,
565,,rarely,240.0,,5,3,,,3,m,46,2,2,sales executive,3,single,,26959,1,True,0.11,,4,0,,1,3.0,6,,0,3,1998,,
566,,,441.0,,14,4,life sciences,,2,f,72,3,1,research scientist,2,,4963.0,4510,9,,0.18,,1,3,7.0,2,3.0,5,,4,3,1967,,
567,,,841.0,research & development,6,3,,,3,f,46,2,1,research scientist,2,married,,23300,1,,0.19,,3,0,5.0,3,2.0,5,,4,3,1997,research & development,
568,,,1033.0,,9,3,medical,,1,f,41,3,1,laboratory technician,1,,4200.0,10224,7,False,0.22,,1,0,,2,4.0,5,,0,4,1991,,
569,,rarely,,,18,3,life sciences,,1,f,75,3,1,research scientist,3,single,,23910,1,False,0.14,,3,0,,4,2.0,5,,0,4,1993,,
570,,rarely,1452.0,,11,3,,,3,f,53,3,5,manager,2,,,17053,3,,0.15,,2,0,,5,3.0,5,,4,4,1973,,
571,,,120.0,,6,5,life sciences,,3,m,43,3,1,research scientist,3,,,12430,3,False,0.2,,1,0,8.0,2,,5,,1,4,1991,,
572,,rarely,1268.0,,4,2,,,3,f,30,3,2,sales executive,1,,5006.0,6319,4,,0.11,,1,1,9.0,3,4.0,5,,0,3,1978,,
573,,,,,7,3,,,4,m,37,4,1,research scientist,4,divorced,,5228,4,False,0.14,,4,3,7.0,3,4.0,5,,2,2,1980,,
574,,,121.0,,27,3,marketing,,2,f,35,3,3,sales executive,4,married,7639.0,24525,1,,0.22,,4,3,10.0,3,2.0,10,,1,9,1994,,
575,,no,,research & development,1,4,medical,,3,m,90,1,2,manufacturing director,3,,,4381,0,,0.12,,4,1,6.0,2,3.0,5,,1,4,1992,research & development,
576,,,813.0,,14,3,,,3,m,58,3,1,laboratory technician,4,married,,22149,5,True,0.13,,3,1,8.0,2,1.0,5,,0,4,1990,,
577,,,307.0,,29,2,,,3,m,71,2,1,laboratory technician,2,,,11652,0,False,0.11,,2,0,,2,4.0,5,,1,4,1992,,
578,,,228.0,,6,4,,,3,m,,3,2,sales executive,4,,6502.0,22825,4,False,0.14,,2,1,,5,4.0,5,,0,1,1986,,
